city,city_label,listing_count,median_unit_price_yuan_m2,mean_unit_price_yuan_m2,median_total_price_10k_yuan,median_area_m2
鹤山,鹤山,118,7270.0,7469.8050847457625,74.0,100.8
莱阳,莱阳,107,7266.0,8429.794392523365,69.8,100.0
荥阳,荥阳,57,7241.0,7297.228070175439,81.0,115.0
昌邑,昌邑,91,7217.0,7450.571428571428,80.0,112.0
泰兴,泰兴,102,7200.0,7422.28431372549,85.0,117.0
滁州,滁州,117,7179.0,7128.034188034188,70.0,100.0
丰城,丰城,59,7144.0,7233.474576271186,85.0,118.7
信阳,信阳,89,7143.0,6715.752808988764,80.0,126.0
宜春,宜春,109,7104.0,7244.605504587156,79.0,116.0
高邮,高邮,120,7082.0,6864.216666666666,79.8,115.0
滨州,滨州,58,7075.5,6967.310344827586,89.5,124.0
广饶,广饶,59,7071.0,6780.983050847458,97.0,139.0
南充,南充,132,6958.5,7139.310606060606,68.0,95.0
宜宾,宜宾,118,6946.0,7308.652542372882,68.0,100.0
玉溪,玉溪,118,6908.0,7609.3050847457625,83.0,123.0
当涂,当涂,81,6824.0,7271.641975308642,69.0,95.0
余姚,余姚,117,6818.0,7380.179487179487,69.0,112.0
亳州,亳州,117,6801.0,6633.9059829059825,75.0,112.0
靖安,靖安,60,6800.5,6949.0,74.0,110.5
天水,天水,116,6784.0,6835.043103448276,61.5,99.80000000000001
昌乐,昌乐,134,6770.5,6613.111940298508,69.95,110.0
永州,永州,120,6763.5,6706.025,72.4,115.0
孝感,孝感,109,6729.0,6945.266055045871,72.0,108.0
肇庆,肇庆,123,6729.0,6933.325203252032,62.0,96.0
遵化,遵化,65,6726.0,6599.6,70.0,102.57
安丘,安丘,126,6716.0,7118.579365079365,75.5,117.0
遵义,遵义,114,6703.0,6669.578947368421,71.68,114.0
汕尾,汕尾,118,6692.5,7401.974576271186,90.0,128.0
河源,河源,118,6631.0,7132.186440677966,69.0,110.0
安阳,安阳,119,6627.0,6573.403361344538,80.0,126.0
普宁,普宁,87,6617.0,6393.735632183908,92.0,145.0
海林,海林,59,6615.0,6757.949152542373,63.5,93.0
岳阳,岳阳,112,6611.5,6687.883928571428,74.9,120.0
邹城,邹城,113,6600.0,6726.654867256637,72.0,112.0
遂宁,遂宁,57,6571.0,7495.666666666667,63.0,110.0
抚州,抚州,119,6552.0,7030.050420168067,75.0,120.0
醴陵,醴陵,65,6534.0,6571.430769230769,75.0,116.63
韶关,韶关,118,6506.0,6571.923728813559,71.75,118.5
枣阳,枣阳,118,6484.5,6923.78813559322,68.4,112.0
彭州,彭州,30,6450.0,7072.8,70.0,99.0
庆阳,庆阳,59,6429.0,6424.35593220339,77.0,126.0
资阳,资阳,102,6409.0,6619.9607843137255,61.8,92.0
揭阳,揭阳,118,6393.5,6038.745762711865,77.45,127.0
贵港,贵港,116,6379.5,6433.2155172413795,73.33500000000001,117.0
株洲,株洲,116,6377.0,6484.724137931034,74.0,120.0
西宁,西宁,60,6326.5,6201.533333333334,57.0,92.0
台山,台山,118,6311.5,6649.957627118644,68.0,111.0
德阳,德阳,120,6308.5,6802.258333333333,67.5,104.86
泸州,泸州,117,6304.0,6590.08547008547,66.0,106.0
邳州,邳州,118,6288.0,6302.5084745762715,70.0,113.2
眉山,眉山,126,6236.0,6600.158730158731,63.8,103.0
达州,达州,119,6204.0,6962.83193277311,60.0,101.0
菏泽,菏泽,120,6198.5,6336.425,68.5,123.0
滕州,滕州,116,6136.5,6076.241379310345,66.0,110.0
高密,高密,118,6130.5,6065.110169491525,63.5,97.875
恩平,恩平,119,6098.0,6213.016806722689,50.0,100.0
新丰,新丰,59,6085.0,6069.525423728814,65.0,116.0
仙桃,仙桃,120,6048.0,5956.483333333334,66.0,117.9
邵阳,邵阳,120,6038.0,5752.725,64.0,117.995
常宁,常宁,60,6034.5,5767.866666666667,69.8,115.0
海阳,海阳,120,6031.5,6424.125,48.0,80.92
梅州,梅州,110,6023.0,6613.618181818182,80.0,129.25
攸县,攸县,57,6016.0,5922.245614035088,69.8,115.0
榆林,榆林,118,6014.5,6434.076271186441,74.0,133.5
济源,济源,120,6000.5,5790.283333333334,72.5,124.0
许昌,许昌,46,6000.0,6207.326086956522,61.5,108.0
禹州,禹州,74,6000.0,6015.22972972973,66.0,112.0
鄂州,鄂州,110,6000.0,6501.945454545455,55.0,89.705
开封,开封,56,5993.0,7018.767857142857,76.5,113.0
舞钢,舞钢,92,5932.0,5992.728260869565,70.0,118.0
内江,内江,118,5925.5,5907.830508474576,55.0,92.0
广安,广安,120,5924.5,6228.958333333333,65.0,107.07
晋中,晋中,118,5924.5,6280.64406779661,65.0,111.0
衡阳,衡阳,100,5920.5,5740.42,70.0,122.22999999999999
渭南,渭南,120,5917.0,6035.441666666667,67.9,117.5
桂林,桂林,95,5917.0,6556.957894736842,64.0,114.0
陇南,陇南,45,5909.0,6335.133333333333,77.0,118.8
商丘,商丘,120,5907.0,6161.633333333333,71.0,129.0
宿州,宿州,119,5882.0,5863.27731092437,60.0,101.0
淮南,淮南,119,5876.0,5955.588235294118,60.0,98.24
德宏,德宏,112,5863.5,6764.910714285715,74.0,120.99000000000001
通辽,通辽,109,5857.0,5805.477064220184,53.0,93.0
随州,随州,90,5843.5,5969.422222222222,68.95,120.0
濮阳,濮阳,120,5833.0,5706.508333333333,54.0,108.35
郴州,郴州,119,5798.0,5935.176470588235,66.0,118.0
潮州,潮州,119,5797.0,5718.310924369748,72.0,120.0
阳春,阳春,130,5784.5,5947.1461538461535,65.0,119.75
云浮,云浮,119,5760.0,6100.142857142857,70.0,120.0
玉林,玉林,119,5741.0,5854.638655462185,63.0,112.0
晋城,晋城,118,5730.0,5755.237288135593,58.0,108.0
恩施,恩施,114,5704.5,5612.5,52.0,105.0
临沧,临沧,105,5694.0,6481.714285714285,75.0,128.0
乐山,乐山,115,5682.0,6145.95652173913,68.0,125.0
曲靖,曲靖,101,5637.0,5530.207920792079,73.0,130.0
湘潭,湘潭,60,5621.0,5816.133333333333,64.8,122.5
百色,百色,119,5620.0,5876.310924369748,68.0,118.0
淮北,淮北,120,5603.0,5689.841666666666,55.0,94.075
武威,武威,117,5565.0,5779.34188034188,63.6,103.0
益阳,益阳,120,5529.0,5539.816666666667,59.0,124.58500000000001
大庆,大庆,59,5515.0,5436.474576271186,55.0,101.4
鹰潭,鹰潭,118,5508.5,5514.593220338983,62.4,112.0
贺州,贺州,119,5481.0,5469.764705882353,78.0,136.0
沛县,沛县,118,5476.0,5261.686440677966,58.0,108.85
汉中,汉中,120,5404.5,5648.091666666666,60.0,116.85
安康,安康,118,5313.5,5706.593220338983,67.5,125.0
黄石,黄石,60,5283.0,5166.0,48.0,88.0
自贡,自贡,120,5235.5,5988.816666666667,55.4,95.5
延安,延安,119,5235.0,5300.655462184874,60.0,127.0
